reporting_airline,dot_id_reporting_airline,tail_number,originairportid,origin,destairportid,dest,crsdeptime,deptime,depdelay,crsarrtime,arrtime,arrdelay,cancelled,totaladdgtime,arrival_time,col_for_aircraft_model,arrival_time_min,time_only_int,Taxis_departed
"MQ",20398,"N632MQ",10529,"BDL",13930,"ORD",720,721,1,920,948,28,0,0,948,"null",588,600,2
"UA",19977,"N441UA",13204,"MCO",13930,"ORD",810,806,-4,1011,951,-20,0,0,951,"null",591,600,2
"EV",20366,"N834AS",10868,"CAE",13930,"ORD",848,841,-7,957,953,-4,0,0,953,"null",593,600,2
"MQ",20398,"N514MQ",13495,"MSY",13930,"ORD",730,722,-8,955,955,0,0,0,955,"null",595,600,2
"MQ",20398,"N922MQ",11423,"DSM",13930,"ORD",905,851,-14,1025,956,-29,0,0,956,"null",596,600,2
"MQ",20398,"N514MQ",13495,"MSY",13930,"ORD",730,722,-8,955,955,0,0,0,955,"null",595,615,4
"MQ",20398,"N922MQ",11423,"DSM",13930,"ORD",905,851,-14,1025,956,-29,0,0,956,"null",596,615,4
"EV",20366,"N25134",14492,"RDU",13930,"ORD",854,848,-6,1007,1003,-4,0,0,1003,"null",603,615,4
"MQ",20398,"N855MQ",13367,"MLI",13930,"ORD",930,922,-8,1025,1004,-21,0,0,1004,"null",604,615,4
"EV",20366,"N834AS",10868,"CAE",13930,"ORD",848,841,-7,957,953,-4,0,0,953,"null",593,615,4
"UA",19977,"N441UA",13204,"MCO",13930,"ORD",810,806,-4,1011,951,-20,0,0,951,"null",591,615,4
"MQ",20398,"N632MQ",10529,"BDL",13930,"ORD",720,721,1,920,948,28,0,0,948,"null",588,615,4
"AA",19805,"N556AA",15304,"TPA",13930,"ORD",810,805,-5,1000,945,-15,0,0,945,"null",585,615,4
"YV",20378,"N503MJ",11057,"CLT",13930,"ORD",835,833,-2,935,945,10,0,0,945,"null",585,615,4
"MQ",20398,"N809MQ",11003,"CID",13930,"ORD",835,850,15,945,945,0,0,0,945,"null",585,615,4
"MQ",20398,"N909MQ",14783,"SGF",13930,"ORD",800,833,33,940,1010,30,0,0,1010,"null",610,615,4
"EV",20366,"N25134",14492,"RDU",13930,"ORD",854,848,-6,1007,1003,-4,0,0,1003,"null",603,630,4
"MQ",20398,"N855MQ",13367,"MLI",13930,"ORD",930,922,-8,1025,1004,-21,0,0,1004,"null",604,630,4
"MQ",20398,"N909MQ",14783,"SGF",13930,"ORD",800,833,33,940,1010,30,0,0,1010,"null",610,630,4
"YV",20378,"N521LR",11433,"DTW",13930,"ORD",1020,1013,-7,1041,1015,-26,0,0,1015,"null",615,630,4
"OO",20304,"N593ML",14108,"PIA",13930,"ORD",925,922,-3,1017,1016,-1,0,0,1016,"null",616,630,4
"AA",19805,"N4YCAA",12953,"LGA",13930,"ORD",830,830,0,1015,1018,3,0,0,1018,"null",618,630,4
"9E",20363,"N910XJ",11433,"DTW",13930,"ORD",1015,1013,-2,1045,1021,-24,0,0,1021,"null",621,630,4
"MQ",20398,"N510MQ",11540,"ELP",13930,"ORD",700,659,-1,1055,1022,-33,0,0,1022,"null",622,630,4
"EV",20366,"N832AS",11995,"GSO",13930,"ORD",933,922,-11,1031,1025,-6,0,0,1025,"null",625,630,4
"B6",20409,"N274JB",12478,"JFK",13930,"ORD",830,828,-2,1012,1027,15,0,0,1027,"null",627,630,4
"UA",19977,"N36247",14107,"PHX",13930,"ORD",627,640,13,1051,1028,-23,0,0,1028,"null",628,630,4
"YV",20378,"N521LR",11433,"DTW",13930,"ORD",1020,1013,-7,1041,1015,-26,0,0,1015,"null",615,645,7
"OO",20304,"N593ML",14108,"PIA",13930,"ORD",925,922,-3,1017,1016,-1,0,0,1016,"null",616,645,7
"AA",19805,"N4YCAA",12953,"LGA",13930,"ORD",830,830,0,1015,1018,3,0,0,1018,"null",618,645,7
"9E",20363,"N910XJ",11433,"DTW",13930,"ORD",1015,1013,-2,1045,1021,-24,0,0,1021,"null",621,645,7
"MQ",20398,"N510MQ",11540,"ELP",13930,"ORD",700,659,-1,1055,1022,-33,0,0,1022,"null",622,645,7
"EV",20366,"N832AS",11995,"GSO",13930,"ORD",933,922,-11,1031,1025,-6,0,0,1025,"null",625,645,7
"B6",20409,"N274JB",12478,"JFK",13930,"ORD",830,828,-2,1012,1027,15,0,0,1027,"null",627,645,7
"UA",19977,"N36247",14107,"PHX",13930,"ORD",627,640,13,1051,1028,-23,0,0,1028,"null",628,645,7
"UA",19977,"N578UA",10721,"BOS",13930,"ORD",819,817,-2,1002,1030,28,0,0,1030,"null",630,645,7
"AA",19805,"N3JRAA",11697,"FLL",13930,"ORD",830,827,-3,1050,1030,-20,0,0,1030,"null",630,645,7
"EV",20366,"N13550",12339,"IND",13930,"ORD",1040,1036,-4,1045,1031,-14,0,0,1031,"null",631,645,7
"OO",20304,"N507CA",13342,"MKE",13930,"ORD",956,952,-4,1045,1034,-11,0,0,1034,"null",634,645,7
"AA",19805,"N439AA",10423,"AUS",13930,"ORD",815,810,-5,1055,1035,-20,0,0,1035,"null",635,645,7
"MQ",20398,"N539MQ",10397,"ATL",13930,"ORD",945,941,-4,1050,1037,-13,0,0,1037,"null",637,645,7
"MQ",20398,"N619MQ",11203,"CWA",13930,"ORD",940,935,-5,1055,1039,-16,0,0,1039,"null",639,645,7
"UA",19977,"N429UA",14100,"PHL",13930,"ORD",920,918,-2,1043,1040,-3,0,0,1040,"null",640,645,7
"EV",20366,"N13118",11042,"CLE",13930,"ORD",1005,1001,-4,1031,1040,9,0,0,1040,"null",640,645,7
"EV",20366,"N14953",10792,"BUF",13930,"ORD",949,950,1,1040,1041,1,0,0,1041,"null",641,645,7
"MQ",20398,"N661MQ",11066,"CMH",13930,"ORD",1020,1020,0,1045,1041,-4,0,0,1041,"null",641,645,7
"EV",20366,"N10575",13367,"MLI",13930,"ORD",1007,959,-8,1104,1042,-22,0,0,1042,"null",642,645,7
"AA",19805,"N3CVAA",10721,"BOS",13930,"ORD",830,827,-3,1025,1044,19,0,0,1044,"null",644,645,7
"MQ",20398,"N660MQ",13198,"MCI",13930,"ORD",905,929,24,1030,1044,14,0,0,1044,"null",644,645,7
"UA",19977,"N578UA",10721,"BOS",13930,"ORD",819,817,-2,1002,1030,28,0,0,1030,"null",630,660,2
"AA",19805,"N3JRAA",11697,"FLL",13930,"ORD",830,827,-3,1050,1030,-20,0,0,1030,"null",630,660,2
"EV",20366,"N13550",12339,"IND",13930,"ORD",1040,1036,-4,1045,1031,-14,0,0,1031,"null",631,660,2
"OO",20304,"N507CA",13342,"MKE",13930,"ORD",956,952,-4,1045,1034,-11,0,0,1034,"null",634,660,2
"AA",19805,"N439AA",10423,"AUS",13930,"ORD",815,810,-5,1055,1035,-20,0,0,1035,"null",635,660,2
"MQ",20398,"N539MQ",10397,"ATL",13930,"ORD",945,941,-4,1050,1037,-13,0,0,1037,"null",637,660,2
"MQ",20398,"N619MQ",11203,"CWA",13930,"ORD",940,935,-5,1055,1039,-16,0,0,1039,"null",639,660,2
"UA",19977,"N429UA",14100,"PHL",13930,"ORD",920,918,-2,1043,1040,-3,0,0,1040,"null",640,660,2
"EV",20366,"N13118",11042,"CLE",13930,"ORD",1005,1001,-4,1031,1040,9,0,0,1040,"null",640,660,2
"EV",20366,"N14953",10792,"BUF",13930,"ORD",949,950,1,1040,1041,1,0,0,1041,"null",641,660,2
"MQ",20398,"N661MQ",11066,"CMH",13930,"ORD",1020,1020,0,1045,1041,-4,0,0,1041,"null",641,660,2
"EV",20366,"N10575",13367,"MLI",13930,"ORD",1007,959,-8,1104,1042,-22,0,0,1042,"null",642,660,2
"AA",19805,"N3CVAA",10721,"BOS",13930,"ORD",830,827,-3,1025,1044,19,0,0,1044,"null",644,660,2
"MQ",20398,"N660MQ",13198,"MCI",13930,"ORD",905,929,24,1030,1044,14,0,0,1044,"null",644,660,2
"MQ",20398,"N814MQ",11823,"FWA",13930,"ORD",1100,1058,-2,1100,1045,-15,0,0,1045,"null",645,660,2
"UA",19977,"N38446",12266,"IAH",13930,"ORD",829,838,9,1105,1045,-20,0,0,1045,"null",645,660,2
"EV",20366,"N15983",15016,"STL",13930,"ORD",951,945,-6,1102,1047,-15,0,0,1047,"null",647,660,2
"UA",19977,"N820UA",11618,"EWR",13930,"ORD",903,902,-1,1045,1048,3,0,0,1048,"null",648,660,2
"OO",20304,"N923SW",11109,"COS",13930,"ORD",735,731,-4,1107,1050,-17,0,0,1050,"null",650,660,2
"UA",19977,"N577UA",11278,"DCA",13930,"ORD",935,926,-9,1039,1053,14,0,0,1053,"null",653,660,2
"MQ",20398,"N819MQ",11433,"DTW",13930,"ORD",1025,1044,19,1055,1054,-1,0,0,1054,"null",654,660,2
"MQ",20398,"N676MQ",10693,"BNA",13930,"ORD",910,0,0,1055,0,0,1,0,1055,"null",655,660,2
"OO",20304,"N986SW",10397,"ATL",13930,"ORD",945,1005,20,1050,1059,9,0,0,1059,"null",659,660,2
"UA",19977,"N77430",12264,"IAD",13930,"ORD",953,952,-1,1105,1059,-6,0,0,1059,"null",659,660,2
"MQ",20398,"N840MQ",14633,"RST",13930,"ORD",1010,1001,-9,1125,1059,-26,0,0,1059,"null",659,660,2
"MQ",20398,"N814MQ",11823,"FWA",13930,"ORD",1100,1058,-2,1100,1045,-15,0,0,1045,"null",645,675,3
"UA",19977,"N38446",12266,"IAH",13930,"ORD",829,838,9,1105,1045,-20,0,0,1045,"null",645,675,3
"EV",20366,"N15983",15016,"STL",13930,"ORD",951,945,-6,1102,1047,-15,0,0,1047,"null",647,675,3
"UA",19977,"N820UA",11618,"EWR",13930,"ORD",903,902,-1,1045,1048,3,0,0,1048,"null",648,675,3
"OO",20304,"N923SW",11109,"COS",13930,"ORD",735,731,-4,1107,1050,-17,0,0,1050,"null",650,675,3
"UA",19977,"N577UA",11278,"DCA",13930,"ORD",935,926,-9,1039,1053,14,0,0,1053,"null",653,675,3
"MQ",20398,"N819MQ",11433,"DTW",13930,"ORD",1025,1044,19,1055,1054,-1,0,0,1054,"null",654,675,3
"MQ",20398,"N676MQ",10693,"BNA",13930,"ORD",910,0,0,1055,0,0,1,0,1055,"null",655,675,3
"OO",20304,"N986SW",10397,"ATL",13930,"ORD",945,1005,20,1050,1059,9,0,0,1059,"null",659,675,3
"UA",19977,"N77430",12264,"IAD",13930,"ORD",953,952,-1,1105,1059,-6,0,0,1059,"null",659,675,3
"MQ",20398,"N840MQ",14633,"RST",13930,"ORD",1010,1001,-9,1125,1059,-26,0,0,1059,"null",659,675,3
"AA",19805,"N506AA",14107,"PHX",13930,"ORD",710,708,-2,1135,1100,-35,0,0,1100,"null",660,675,3
"AA",19805,"N3CSAA",13303,"MIA",13930,"ORD",900,856,-4,1115,1101,-14,0,0,1101,"null",661,675,3
"US",20355,"N451UW",14100,"PHL",13930,"ORD",935,927,-8,1052,1103,11,0,0,1103,"null",663,675,3
"EV",20366,"N12921",11267,"DAY",13930,"ORD",1055,1051,-4,1109,1107,-2,0,0,1107,"null",667,675,3
"EV",20366,"N14573",12945,"LEX",13930,"ORD",1033,1053,20,1059,1109,10,0,0,1109,"null",669,675,3
"UA",19977,"N431UA",10792,"BUF",13930,"ORD",700,1029,209,759,1112,193,0,0,1112,"null",672,675,3
"US",20355,"N451UW",14100,"PHL",13930,"ORD",935,927,-8,1052,1103,11,0,0,1103,"null",663,690,8
"EV",20366,"N12921",11267,"DAY",13930,"ORD",1055,1051,-4,1109,1107,-2,0,0,1107,"null",667,690,8
"EV",20366,"N14573",12945,"LEX",13930,"ORD",1033,1053,20,1059,1109,10,0,0,1109,"null",669,690,8
"UA",19977,"N431UA",10792,"BUF",13930,"ORD",700,1029,209,759,1112,193,0,0,1112,"null",672,690,8
"US",20355,"N178US",11057,"CLT",13930,"ORD",1000,959,-1,1106,1117,11,0,0,1117,"null",677,690,8
"OO",20304,"N701SK",10372,"ASE",13930,"ORD",732,745,13,1115,1117,2,0,0,1117,"null",677,690,8
"AA",19805,"N4WJAA",12953,"LGA",13930,"ORD",945,940,-5,1130,1119,-11,0,0,1119,"null",679,690,8
"AA",19805,"N569AA",11298,"DFW",13930,"ORD",915,937,22,1130,1120,-10,0,0,1120,"null",680,690,8
"UA",19977,"N479UA",12953,"LGA",13930,"ORD",930,931,1,1108,1121,13,0,0,1121,"null",681,690,8
"UA",19977,"N483UA",12889,"LAS",13930,"ORD",600,600,0,1134,1125,-9,0,0,1125,"null",685,690,8
"MQ",20398,"N507MQ",13487,"MSP",13930,"ORD",1015,1010,-5,1135,1126,-9,0,0,1126,"null",686,690,8
"YV",20378,"N502MJ",14576,"ROC",13930,"ORD",1015,1021,6,1107,1126,19,0,0,1126,"null",686,690,8
"MQ",20398,"N673MQ",12992,"LIT",13930,"ORD",1005,1002,-3,1155,1128,-27,0,0,1128,"null",688,690,8
"AA",19805,"N506AA",14107,"PHX",13930,"ORD",710,708,-2,1135,1100,-35,0,0,1100,"null",660,690,8
"AA",19805,"N3CSAA",13303,"MIA",13930,"ORD",900,856,-4,1115,1101,-14,0,0,1101,"null",661,690,8
"MQ",20398,"N644MQ",15370,"TUL",13930,"ORD",1010,1011,1,1155,1142,-13,0,0,1142,"null",702,705,3
"YV",20378,"N508MJ",11540,"ELP",13930,"ORD",828,817,-11,1227,1143,-44,0,0,1143,"null",703,705,3
"US",20355,"N178US",11057,"CLT",13930,"ORD",1000,959,-1,1106,1117,11,0,0,1117,"null",677,705,3
"OO",20304,"N701SK",10372,"ASE",13930,"ORD",732,745,13,1115,1117,2,0,0,1117,"null",677,705,3
"AA",19805,"N4WJAA",12953,"LGA",13930,"ORD",945,940,-5,1130,1119,-11,0,0,1119,"null",679,705,3
"AA",19805,"N569AA",11298,"DFW",13930,"ORD",915,937,22,1130,1120,-10,0,0,1120,"null",680,705,3
"UA",19977,"N479UA",12953,"LGA",13930,"ORD",930,931,1,1108,1121,13,0,0,1121,"null",681,705,3
"UA",19977,"N483UA",12889,"LAS",13930,"ORD",600,600,0,1134,1125,-9,0,0,1125,"null",685,705,3
"MQ",20398,"N507MQ",13487,"MSP",13930,"ORD",1015,1010,-5,1135,1126,-9,0,0,1126,"null",686,705,3
"YV",20378,"N502MJ",14576,"ROC",13930,"ORD",1015,1021,6,1107,1126,19,0,0,1126,"null",686,705,3
"MQ",20398,"N673MQ",12992,"LIT",13930,"ORD",1005,1002,-3,1155,1128,-27,0,0,1128,"null",688,705,3
"MQ",20398,"N825MQ",11612,"EVV",13930,"ORD",1030,1024,-6,1150,1132,-18,0,0,1132,"null",692,705,3
"MQ",20398,"N546MQ",10140,"ABQ",13930,"ORD",815,816,1,1155,1133,-22,0,0,1133,"null",693,705,3
"DL",19790,"N338NB",10397,"ATL",13930,"ORD",1040,1038,-2,1150,1135,-15,0,0,1135,"null",695,705,3
"EV",20366,"N11199",14524,"RIC",13930,"ORD",1005,1016,11,1112,1138,26,0,0,1138,"null",698,705,3
"OO",20304,"N926SW",13029,"LNK",13930,"ORD",1020,1019,-1,1155,1139,-16,0,0,1139,"null",699,705,3
"MQ",20398,"N676MQ",11057,"CLT",13930,"ORD",1040,1034,-6,1150,1139,-11,0,0,1139,"null",699,705,3
"MQ",20398,"N825MQ",11612,"EVV",13930,"ORD",1030,1024,-6,1150,1132,-18,0,0,1132,"null",692,720,4
"MQ",20398,"N546MQ",10140,"ABQ",13930,"ORD",815,816,1,1155,1133,-22,0,0,1133,"null",693,720,4
"DL",19790,"N338NB",10397,"ATL",13930,"ORD",1040,1038,-2,1150,1135,-15,0,0,1135,"null",695,720,4
"EV",20366,"N11199",14524,"RIC",13930,"ORD",1005,1016,11,1112,1138,26,0,0,1138,"null",698,720,4
"OO",20304,"N926SW",13029,"LNK",13930,"ORD",1020,1019,-1,1155,1139,-16,0,0,1139,"null",699,720,4
"MQ",20398,"N676MQ",11057,"CLT",13930,"ORD",1040,1034,-6,1150,1139,-11,0,0,1139,"null",699,720,4
"MQ",20398,"N644MQ",15370,"TUL",13930,"ORD",1010,1011,1,1155,1142,-13,0,0,1142,"null",702,720,4
"YV",20378,"N508MJ",11540,"ELP",13930,"ORD",828,817,-11,1227,1143,-44,0,0,1143,"null",703,720,4
"OO",20304,"N980SW",13344,"MKG",13930,"ORD",1150,0,0,1145,0,0,1,0,1145,"null",705,720,4
"MQ",20398,"N503MQ",11618,"EWR",13930,"ORD",1010,1007,-3,1140,1147,7,0,0,1147,"null",707,720,4
"MQ",20398,"N688MQ",12339,"IND",13930,"ORD",1050,1149,59,1055,1148,53,0,0,1148,"null",708,720,4
"UA",19977,"N418UA",14893,"SMF",13930,"ORD",600,602,2,1202,1149,-13,0,0,1149,"null",709,720,4
"AA",19805,"N4WLAA",14492,"RDU",13930,"ORD",1035,1035,0,1145,1149,4,0,0,1149,"null",709,720,4
"UA",19977,"N829UA",14679,"SAN",13930,"ORD",620,616,-4,1220,1149,-31,0,0,1149,"null",709,720,4
"AA",19805,"N3BBAA",14771,"SFO",13930,"ORD",605,601,-4,1225,1150,-35,0,0,1150,"null",710,720,4
"EV",20366,"N48901",15096,"SYR",13930,"ORD",959,1007,8,1107,1152,45,0,0,1152,"null",712,720,4
"EV",20366,"N11194",11977,"GRB",13930,"ORD",1101,1105,4,1201,1153,-8,0,0,1153,"null",713,720,4
"AA",19805,"N576AA",11298,"DFW",13930,"ORD",950,1004,14,1200,1154,-6,0,0,1154,"null",714,720,4
"AA",19805,"N554AA",11278,"DCA",13930,"ORD",1000,1054,54,1110,1159,49,0,0,1159,"null",719,720,4
"UA",19977,"N646UA",14771,"SFO",13930,"ORD",602,559,-3,1215,1157,-18,0,0,1157,"null",717,720,4
"UA",19977,"N32404",14747,"SEA",13930,"ORD",600,556,-4,1159,1156,-3,0,0,1156,"null",716,720,4
"AA",19805,"N3ARAA",14679,"SAN",13930,"ORD",620,614,-6,1225,1156,-29,0,0,1156,"null",716,720,4
"UA",19977,"N31412",14057,"PDX",13930,"ORD",600,602,2,1154,1156,2,0,0,1156,"null",716,720,4
"AA",19805,"N598AA",15376,"TUS",13930,"ORD",755,753,-2,1220,1155,-25,0,0,1155,"null",715,720,4
"OO",20304,"N980SW",13344,"MKG",13930,"ORD",1150,0,0,1145,0,0,1,0,1145,"null",705,735,4
"MQ",20398,"N503MQ",11618,"EWR",13930,"ORD",1010,1007,-3,1140,1147,7,0,0,1147,"null",707,735,4
"MQ",20398,"N688MQ",12339,"IND",13930,"ORD",1050,1149,59,1055,1148,53,0,0,1148,"null",708,735,4
"UA",19977,"N418UA",14893,"SMF",13930,"ORD",600,602,2,1202,1149,-13,0,0,1149,"null",709,735,4
"AA",19805,"N4WLAA",14492,"RDU",13930,"ORD",1035,1035,0,1145,1149,4,0,0,1149,"null",709,735,4
"UA",19977,"N829UA",14679,"SAN",13930,"ORD",620,616,-4,1220,1149,-31,0,0,1149,"null",709,735,4
"AA",19805,"N3BBAA",14771,"SFO",13930,"ORD",605,601,-4,1225,1150,-35,0,0,1150,"null",710,735,4
"EV",20366,"N48901",15096,"SYR",13930,"ORD",959,1007,8,1107,1152,45,0,0,1152,"null",712,735,4
"EV",20366,"N11194",11977,"GRB",13930,"ORD",1101,1105,4,1201,1153,-8,0,0,1153,"null",713,735,4
"AA",19805,"N576AA",11298,"DFW",13930,"ORD",950,1004,14,1200,1154,-6,0,0,1154,"null",714,735,4
"AA",19805,"N598AA",15376,"TUS",13930,"ORD",755,753,-2,1220,1155,-25,0,0,1155,"null",715,735,4
"UA",19977,"N31412",14057,"PDX",13930,"ORD",600,602,2,1154,1156,2,0,0,1156,"null",716,735,4
"AA",19805,"N3ARAA",14679,"SAN",13930,"ORD",620,614,-6,1225,1156,-29,0,0,1156,"null",716,735,4
"UA",19977,"N32404",14747,"SEA",13930,"ORD",600,556,-4,1159,1156,-3,0,0,1156,"null",716,735,4
"UA",19977,"N646UA",14771,"SFO",13930,"ORD",602,559,-3,1215,1157,-18,0,0,1157,"null",717,735,4
"AA",19805,"N554AA",11278,"DCA",13930,"ORD",1000,1054,54,1110,1159,49,0,0,1159,"null",719,735,4
"EV",20366,"N18556",13367,"MLI",13930,"ORD",1106,1119,13,1201,1201,0,0,0,1201,"null",721,735,4
"EV",20366,"N11155",13871,"OMA",13930,"ORD",1040,1035,-5,1214,1201,-13,0,0,1201,"null",721,735,4
"UA",19977,"N77865",12892,"LAX",13930,"ORD",605,626,21,1205,1202,-3,0,0,1202,"null",722,735,4
"EV",20366,"N17560",14122,"PIT",13930,"ORD",1045,1045,0,1122,1203,41,0,0,1203,"null",723,735,4
"EV",20366,"N11184",12992,"LIT",13930,"ORD",1038,1038,0,1224,1204,-20,0,0,1204,"null",724,735,4
"MQ",20398,"N942MQ",10821,"BWI",13930,"ORD",2040,1047,847,2155,1204,849,0,0,1204,"null",724,735,4
"AA",19805,"N3GXAA",14747,"SEA",13930,"ORD",610,609,-1,1205,1211,6,0,0,1211,"null",731,735,4
"MQ",20398,"N806MQ",14122,"PIT",13930,"ORD",955,1106,71,1035,1211,96,0,0,1211,"null",731,735,4
"MQ",20398,"N535MQ",10397,"ATL",13930,"ORD",1120,1115,-5,1230,1211,-19,0,0,1211,"null",731,735,4
"UA",19977,"N561UA",11292,"DEN",13930,"ORD",844,901,17,1207,1214,7,0,0,1214,"null",734,735,4
"EV",20366,"N11155",13871,"OMA",13930,"ORD",1040,1035,-5,1214,1201,-13,0,0,1201,"null",721,750,3
"UA",19977,"N77865",12892,"LAX",13930,"ORD",605,626,21,1205,1202,-3,0,0,1202,"null",722,750,3
"EV",20366,"N17560",14122,"PIT",13930,"ORD",1045,1045,0,1122,1203,41,0,0,1203,"null",723,750,3
"EV",20366,"N11184",12992,"LIT",13930,"ORD",1038,1038,0,1224,1204,-20,0,0,1204,"null",724,750,3
"MQ",20398,"N942MQ",10821,"BWI",13930,"ORD",2040,1047,847,2155,1204,849,0,0,1204,"null",724,750,3
"AA",19805,"N3GXAA",14747,"SEA",13930,"ORD",610,609,-1,1205,1211,6,0,0,1211,"null",731,750,3
"MQ",20398,"N806MQ",14122,"PIT",13930,"ORD",955,1106,71,1035,1211,96,0,0,1211,"null",731,750,3
"MQ",20398,"N535MQ",10397,"ATL",13930,"ORD",1120,1115,-5,1230,1211,-19,0,0,1211,"null",731,750,3
"UA",19977,"N561UA",11292,"DEN",13930,"ORD",844,901,17,1207,1214,7,0,0,1214,"null",734,750,3
"AA",19805,"N3DCAA",12892,"LAX",13930,"ORD",600,612,12,1205,1215,10,0,0,1215,"null",735,750,3
"YV",20378,"N506MJ",12451,"JAX",13930,"ORD",1055,1051,-4,1227,1215,-12,0,0,1215,"null",735,750,3
"AA",19805,"N3CRAA",10721,"BOS",13930,"ORD",1015,1012,-3,1205,1216,11,0,0,1216,"null",736,750,3
"MQ",20398,"N824MQ",15919,"XNA",13930,"ORD",1045,1100,15,1230,1218,-12,0,0,1218,"null",738,750,3
"EV",20366,"N10156",14193,"PNS",13930,"ORD",1009,1008,-1,1240,1220,-20,0,0,1220,"null",740,750,3
"AA",19805,"N581AA",12953,"LGA",13930,"ORD",1030,1037,7,1210,1221,11,0,0,1221,"null",741,750,3
"EV",20366,"N22971",14696,"SBN",13930,"ORD",1245,1241,-4,1231,1221,-10,0,0,1221,"null",741,750,3
"YV",20378,"N522LR",13198,"MCI",13930,"ORD",1047,1116,29,1216,1222,6,0,0,1222,"null",742,750,3
"UA",19977,"N426UA",14908,"SNA",13930,"ORD",645,648,3,1240,1223,-17,0,0,1223,"null",743,750,3
"UA",19977,"N423UA",11618,"EWR",13930,"ORD",1030,1038,8,1202,1223,21,0,0,1223,"null",743,750,3
"EV",20366,"N14907",11003,"CID",13930,"ORD",1124,1120,-4,1230,1224,-6,0,0,1224,"null",744,750,3
"OO",20304,"N755SK",10713,"BOI",13930,"ORD",745,742,-3,1205,1224,19,0,0,1224,"null",744,750,3
"OO",20304,"N701BR",11337,"DLH",13930,"ORD",1059,1056,-3,1235,1224,-11,0,0,1224,"null",744,750,3
"OO",20304,"N740SK",14869,"SLC",13930,"ORD",800,756,-4,1208,1226,18,0,0,1226,"null",746,750,3
"MQ",20398,"N918MQ",12945,"LEX",13930,"ORD",1210,1208,-2,1240,1227,-13,0,0,1227,"null",747,750,3
"MQ",20398,"N659MQ",13198,"MCI",13930,"ORD",1115,1119,4,1245,1228,-17,0,0,1228,"null",748,750,3
"EV",20366,"N18556",13367,"MLI",13930,"ORD",1106,1119,13,1201,1201,0,0,0,1201,"null",721,750,3
"UA",19977,"N38454",13204,"MCO",13930,"ORD",1049,1058,9,1245,1240,-5,0,0,1240,"null",760,765,4
"AA",19805,"N3DCAA",12892,"LAX",13930,"ORD",600,612,12,1205,1215,10,0,0,1215,"null",735,765,4
"YV",20378,"N506MJ",12451,"JAX",13930,"ORD",1055,1051,-4,1227,1215,-12,0,0,1215,"null",735,765,4
"AA",19805,"N3CRAA",10721,"BOS",13930,"ORD",1015,1012,-3,1205,1216,11,0,0,1216,"null",736,765,4
"MQ",20398,"N824MQ",15919,"XNA",13930,"ORD",1045,1100,15,1230,1218,-12,0,0,1218,"null",738,765,4
"EV",20366,"N10156",14193,"PNS",13930,"ORD",1009,1008,-1,1240,1220,-20,0,0,1220,"null",740,765,4
"AA",19805,"N581AA",12953,"LGA",13930,"ORD",1030,1037,7,1210,1221,11,0,0,1221,"null",741,765,4
"EV",20366,"N22971",14696,"SBN",13930,"ORD",1245,1241,-4,1231,1221,-10,0,0,1221,"null",741,765,4
"YV",20378,"N522LR",13198,"MCI",13930,"ORD",1047,1116,29,1216,1222,6,0,0,1222,"null",742,765,4
"UA",19977,"N426UA",14908,"SNA",13930,"ORD",645,648,3,1240,1223,-17,0,0,1223,"null",743,765,4
"UA",19977,"N423UA",11618,"EWR",13930,"ORD",1030,1038,8,1202,1223,21,0,0,1223,"null",743,765,4
"EV",20366,"N14907",11003,"CID",13930,"ORD",1124,1120,-4,1230,1224,-6,0,0,1224,"null",744,765,4
"OO",20304,"N755SK",10713,"BOI",13930,"ORD",745,742,-3,1205,1224,19,0,0,1224,"null",744,765,4
"OO",20304,"N701BR",11337,"DLH",13930,"ORD",1059,1056,-3,1235,1224,-11,0,0,1224,"null",744,765,4
"OO",20304,"N740SK",14869,"SLC",13930,"ORD",800,756,-4,1208,1226,18,0,0,1226,"null",746,765,4
"MQ",20398,"N918MQ",12945,"LEX",13930,"ORD",1210,1208,-2,1240,1227,-13,0,0,1227,"null",747,765,4
"MQ",20398,"N659MQ",13198,"MCI",13930,"ORD",1115,1119,4,1245,1228,-17,0,0,1228,"null",748,765,4
"EV",20366,"N29906",11423,"DSM",13930,"ORD",1130,1131,1,1247,1230,-17,0,0,1230,"null",750,765,4
"OO",20304,"N943SW",13342,"MKE",13930,"ORD",1142,1149,7,1231,1231,0,0,0,1231,"null",751,765,4
"AA",19805,"N539AA",13487,"MSP",13930,"ORD",1115,1108,-7,1245,1231,-14,0,0,1231,"null",751,765,4
"YV",20378,"N514MJ",14685,"SAV",13930,"ORD",1134,1124,-10,1253,1232,-21,0,0,1232,"null",752,765,4
"UA",19977,"N33292",12266,"IAH",13930,"ORD",1022,1023,1,1257,1233,-24,0,0,1233,"null",753,765,4
"EV",20366,"N16541",11057,"CLT",13930,"ORD",1142,1138,-4,1245,1233,-12,0,0,1233,"null",753,765,4
"UA",19977,"N838UA",14635,"RSW",13930,"ORD",1048,1045,-3,1247,1234,-13,0,0,1234,"null",754,765,4
"US",20355,"N637AW",14107,"PHX",13930,"ORD",845,837,-8,1303,1236,-27,0,0,1236,"null",756,765,4
"MQ",20398,"N696MQ",12278,"ICT",13930,"ORD",1045,1045,0,1240,1237,-3,0,0,1237,"null",757,765,4
"MQ",20398,"N617MQ",11066,"CMH",13930,"ORD",1200,1219,19,1225,1239,14,0,0,1239,"null",759,765,4
